Followers (Total),Followers (7 jours),Interactions (7 jours),Date
174,1,20,2024-06-03
175,2,35,2024-06-04
174,1,146,2024-06-05
174,1,180,2024-06-06
174,1,281,2024-06-07
174,0,327,2024-06-08
174,0,327,2024-06-09
174,0,345,2024-06-10
176,1,357,2024-06-11
